,plateifu,mangaid,objra,objdec,T,type,TType-cat,VI_morph,WHAN_Class
579,9049-1901,1-269632,247.560973,26.20647356,-0.87,S0,Huertas,Spiral,SFBQB
580,9049-3702,1-269634,247.6623304,25.98689725,3.061,Sab,Huertas,Spiral,SFBQB
581,9085-12703,1-178557,260.3062712,29.18589109,3.118,Sab,Huertas,Spiral,SFBQB
582,9085-9101,1-177985,259.6484198,29.25147616,2.685,Sab,Huertas,Spiral,QB
583,9088-12702,1-265589,242.3154737,25.71246957,3.835,Sab,Huertas,Spiral,QB
584,9095-12701,1-376413,241.9136393,23.41686603,1.872,Sab,Huertas,Spiral,SFBQB
585,9095-1901,1-317822,242.8100517,24.22502189,-3.276,EII,Huertas,Spiral,SFBQB
586,9182-12703,1-43868,118.774527,40.04129635,2.502,Sab,Huertas,Spiral,SFBQB
587,9182-6101,1-72087,120.3212778,39.21682242,0.701,Sab,Huertas,Spiral,QB
588,9183-12703,1-72242,120.7525704,39.86913754,2.93,Sab,Huertas,Spiral,PSF
589,9184-12701,1-201913,119.7990417,31.80787429,3.454,Sab,Huertas,Spiral,QB
590,9184-3702,1-153086,119.3430278,33.06242882,-2.098,S0,Huertas,Spiral,LSN
591,9184-3704,1-201922,119.9947937,31.89332414,2.787,Sab,Huertas,Spiral,SFBQB
592,9185-12705,1-547339,258.5824636,33.54888464,3.071,Sab,Huertas,Spiral,PSF
593,9193-12702,1-37822,46.37325449,-0.381932334,2.993,Sab,Huertas,Spiral,PSF
594,9193-6102,1-37386,46.30469131,-1.006335855,2.744,Sab,Huertas,Spiral,SFBQB
595,9193-9101,1-37385,46.29419684,-1.075470365,-1.232,S0,Huertas,Spiral,SFBQB
596,9195-3703,1-603039,29.0522287,14.90663913,-1.088,S0,Huertas,Spiral,SFBQB
597,9195-9101,1-42646,28.07922608,13.63405605,3.131,Sab,Huertas,Spiral,SFBQB
598,9196-12701,1-595146,260.12645,52.643041,2.709206104,Sab,SDSS-DeepLearning,Spiral,QB
599,9196-12703,1-24660,262.3992827,54.49442367,2.611,Sab,Huertas,Spiral,SFBQB
600,9485-12705,1-153627,121.7799375,36.23347854,0.222,S0,Huertas,Spiral,SFBQB
601,9486-12702,1-72207,121.1295952,40.20604481,2.377,Sab,Huertas,Spiral,SFBQB
602,9487-12701,1-44618,122.5228733,46.19302521,2.722,Sab,Huertas,Spiral,SFBQB
603,9487-12704,1-45581,123.6863983,46.41497528,4.825,Scd,Huertas,Spiral,PSF
604,9487-3704,1-44974,123.6620484,44.39464312,4.034,Scd,Huertas,Spiral,PSF
605,9487-9102,1-574504,123.8203258,46.07525334,-0.523,S0,Huertas,Spiral,SFBQB
606,9490-12702,1-382980,121.1375351,19.85125851,4.766,Scd,Huertas,Spiral,PSF
607,9490-6102,1-383264,122.12768,19.2084717,3.313,Sab,Huertas,Spiral,SFBQB
608,9492-6101,1-382326,117.3005506,17.56616409,2.683,Sab,Huertas,Spiral,QB
609,9492-6103,1-297950,116.5517882,18.71036932,2.64,Sab,Huertas,Spiral,PSF
610,9492-9102,1-382306,118.2136837,17.56001892,3.669,Sab,Huertas,Spiral,PSF
611,9493-1902,1-413033,129.9614953,23.14334857,-2.661,S0,Huertas,Spiral,SFBQB
612,9494-9102,1-384848,127.4348389,22.42439637,4.03,Scd,Huertas,Spiral,SFBQB
613,9500-12704,1-605482,131.9825395,25.83167113,0.097,S0,Huertas,Spiral,QB
614,9501-6102,1-385091,129.6691733,25.58717644,0.322,S0,Huertas,Spiral,QB
615,9502-12703,1-385099,129.54557,24.895295,4.379243851,Scd,SDSS-DeepLearning,Spiral,SFBQB
616,9502-6101,1-385123,129.394959,24.61256772,-0.204,S0,Huertas,Spiral,SFBQB
617,9505-12704,1-387161,139.0781202,28.88907387,5.031,Scd,Huertas,Spiral,PSF
618,9506-6102,1-386150,133.7598432,26.67534627,4.393,Scd,Huertas,Spiral,PSF
619,9506-9101,1-385972,133.58894,27.16722614,3.601,Sab,Huertas,Spiral,QB
620,9507-12701,1-298752,128.250742,26.01405069,4.416,Scd,Huertas,Spiral,PSF
621,9507-12702,1-299013,128.4945619,26.10679727,3.408,Sab,Huertas,Spiral,-
622,9508-12701,1-298823,126.5145002,25.59458518,3.781,Sab,Huertas,Spiral,SFBQB
623,9508-12704,1-298938,127.1059539,26.39737016,2.227,Sab,Huertas,Spiral,SFBQB
624,9508-6104,1-298966,127.5530165,26.62732295,0.256,S0,Huertas,Spiral,SFBQB
625,9510-12703,1-230670,128.0264348,29.23625131,2.636,Sab,Huertas,Spiral,SFBQB
626,9512-3704,1-53880,138.1512607,0.30949101,1.874,Sab,Huertas,Spiral,SFBQB
627,9865-6103,1-246565,225.0079245,49.7468096,1.294,Sab,Huertas,Spiral,QB
628,9868-6102,1-321256,219.2275407,46.80176837,1.424,Sab,Huertas,Spiral,QB
629,9870-6103,1-569138,233.22829,44.538732,2.117781878,Sab,SDSS-DeepLearning,Spiral,SFBQB
630,9870-9101,1-199368,233.2834463,44.53567898,2.467,Sab,Huertas,Spiral,QB
631,9871-12701,1-321938,227.3292399,42.6750722,3.254,Sab,Huertas,Spiral,PSF
632,9871-12702,1-593698,228.2807335,41.26461964,4.922,Scd,Huertas,Spiral,QB
633,9871-12705,1-593702,228.37217,42.330255,4.941966534,Scd,SDSS-DeepLearning,Spiral,PSF
634,9872-6101,1-322581,233.1362914,41.98044171,5.175,Scd,Huertas,Spiral,PSF
635,9872-9102,1-593934,234.1347068,41.79929391,3.807,Sab,Huertas,Spiral,SFBQB
636,9876-6101,1-623893,195.5532271,28.21485166,4.498,Scd,Huertas,Spiral,PSF
637,9876-9102,1-457147,195.855551,28.01401128,3.014,Sab,Huertas,Spiral,LSN
638,9881-12702,1-523178,204.9990646,24.00808984,3.495,Sab,Huertas,Spiral,PSF
639,9881-12705,1-523085,205.3735703,23.16696442,2.77,Sab,Huertas,Spiral,SFBQB
640,9883-12701,1-176644,255.5233088,31.79742915,-3.511,EII,Huertas,Spiral,PSF
641,9883-12704,1-176925,256.5507674,33.55523016,2.774,Sab,Huertas,Spiral,SFBQB
642,9883-9102,1-176947,256.6413907,33.69298316,4.2,Scd,Huertas,Spiral,SFB
643,9888-12701,1-593975,235.47582,28.133979,3.24897337,Sab,SDSS-DeepLearning,Spiral,QB
644,9888-12704,1-316945,236.0063392,28.27702878,2.408,Sab,Huertas,Spiral,SFBQB
