,plateifu,mangaid,objra,objdec,T,type,TType-cat,VI_morph,WHAN_Class
151,9043-1902,1-632488,230.56456,27.699703,-2.369142056,S0,SDSS-DeepLearning,S0,QB
152,9044-1902,1-632365,230.3032996,30.65792656,-1.168,S0,Huertas,S0,LSN
153,9044-3701,1-632371,230.3101815,30.52305187,1.647,Sab,Huertas,S0,QB
154,9045-1902,1-315099,228.6327171,31.03095209,-2.088,S0,Huertas,S0,QB
155,9049-3704,1-295155,247.5306506,23.92595754,1.885,Sab,Huertas,S0,PSF
156,9050-12705,1-295183,246.3073136,23.69994733,2.708,Sab,Huertas,S0,QB
157,9085-1901,1-177972,259.3564005,29.18554796,-1.788,S0,Huertas,S0,LSN
158,9181-9101,1-71763,118.9382788,37.82156342,2.586,Sab,Huertas,S0,PSF
159,9182-3703,1-72199,121.2724092,40.1745642,-1.692,S0,Huertas,S0,QB
160,9185-6101,1-561034,257.49138,34.370153,0.696091294,Sab,SDSS-DeepLearning,S0,LSN
161,9193-3702,1-37813,46.52125865,-0.53404909,1.98,Sab,Huertas,S0,LSN
162,9196-1902,1-24553,261.10511,53.51792,1.665768385,Sab,SDSS-DeepLearning,S0,SFBQB
163,9196-3703,1-24661,262.3890816,54.30986001,-1.138,S0,Huertas,S0,SFBQB
164,9486-6102,1-122361,122.3806437,39.80187983,-2.682,S0,Huertas,S0,QB
165,9487-3702,1-574506,123.33054,46.147157,-2.263981819,S0,SDSS-DeepLearning,S0,SFBQB
166,9487-9101,1-45179,123.5711965,46.01033153,-1.36,S0,Huertas,S0,QB
167,9488-6101,1-384171,125.6496557,20.99616555,2.6,Sab,Huertas,S0,PSF
168,9490-3701,1-383608,122.3522585,19.62819733,-0.406,S0,Huertas,S0,QBSFB
169,9491-3703,1-383214,120.4040529,18.88516844,-3.652,EII,Huertas,S0,SFBQB
170,9492-3704,1-297846,116.9191707,18.47855339,1.527,Sab,Huertas,S0,LSN
171,9497-1902,1-556829,117.50503,19.495915,-2.48897171,S0,SDSS-DeepLearning,S0,LSN
172,9502-3704,1-385108,129.4954628,25.04878086,1.794,Sab,Huertas,S0,QB
173,9505-6101,1-387035,139.854368,26.90892847,-3.22,EII,Huertas,S0,LSN
174,9506-1902,1-386154,133.5751216,26.50611851,0.611,Sab,Huertas,S0,QB
175,9508-12703,1-298950,127.374084,26.54996094,0.744,Sab,Huertas,S0,LSN
176,9509-3704,1-230100,122.7356208,25.68471302,-2.765,S0,Huertas,S0,QB
177,9512-6102,1-53916,139.357447,1.288343214,-2.135,S0,Huertas,S0,QB
178,9863-12702,1-456589,194.8340936,27.88600975,-0.346,S0,Huertas,S0,LSN
179,9863-12705,1-456639,195.1354777,27.76614005,0.997,Sab,Huertas,S0,LSN
180,9863-1901,1-591255,195.0536034,28.07550107,-2.193,S0,Huertas,S0,LSN
181,9863-3704,1-456418,193.1711783,26.36582117,-1.929,S0,Huertas,S0,LSN
182,9863-6101,1-455924,192.9324389,27.96282224,-3.064,EII,Huertas,S0,QB
183,9868-6103,1-321170,218.6626311,47.96833323,-3.799,EII,Huertas,S0,SFBQB
184,9869-9102,1-135524,247.2566077,40.5348708,-2.369,S0,Huertas,S0,SFBQB
185,9870-6101,1-199360,233.0662551,43.62936131,2.311,Sab,Huertas,S0,PSF
186,9876-3704,1-457163,195.5043539,27.65298985,0.295,S0,Huertas,S0,LSN
187,9881-12704,1-523188,205.3262164,24.49620066,2.85,Sab,Huertas,S0,QB
188,9881-3703,1-458301,204.8913664,25.55609869,-0.843,S0,Huertas,S0,QB
189,9881-3704,1-568583,205.35571,23.247487,-2.352990627,S0,SDSS-DeepLearning,S0,QB
190,9881-6101,1-523206,205.5431715,24.55791642,-2.164,S0,Huertas,S0,QB
191,9883-3703,1-176928,256.4620651,32.97538651,-1.584,S0,Huertas,S0,QB
192,9888-3701,1-593989,236.00803,27.699311,2.223415375,Sab,SDSS-DeepLearning,S0,SFB
193,10001-6102,1-48116,132.6539917,57.35966754,2.371,Sab,Huertas,Spiral,SFBQB
194,10001-9101,1-48189,133.8780968,57.56454487,4.02,Scd,Huertas,Spiral,PSF
195,7495-12705,12-129629,205.6092581,26.53687076,-0.989,S0,Huertas,Spiral,QB
196,7957-12705,1-547159,257.6306593,35.50673532,4.31,Scd,Huertas,Spiral,QB
