plateifu,mangaid,objra,objdec,VI_morph,DR
7495-12705,12-129629,205.6092581,26.53687076,Spiral,16
7957-12705,1-547159,257.6306593,35.50673532,Spiral,16
7957-9101,1-177296,256.9444874,35.13413639,Spiral,16
7958-3702,1-177284,256.9926059,34.81853932,Spiral,16
7958-3703,1-177250,256.6640463,34.54300223,Spiral,16
7958-6101,1-547086,257.3836889,34.42703188,Spiral,16
7962-12701,1-177822,258.6594221,28.12076298,Spiral,16
7962-12702,1-178265,259.1944193,26.48130087,Spiral,16
7962-12703,1-178586,261.2173022,28.07829691,Spiral,16
7968-12703,1-180629,324.0919997,0.947726891,Spiral,16
7968-12704,1-180621,324.2598808,0.428240426,Spiral,16
7968-1902,1-180540,323.0338738,0.609774318,Spiral,16
7968-6102,1-180537,323.1786261,0.771349187,Spiral,16
7977-12703,1-115162,333.2018423,13.33412093,Spiral,16
7977-12705,1-596678,332.89284,11.795929,Spiral,16
7977-9102,1-114980,332.8306643,12.18471758,Spiral,16
7990-12701,1-24414,263.1501475,56.84525649,Spiral,16
7990-12704,1-25554,262.4860383,58.39740725,Spiral,16
7990-6103,1-25688,261.2848449,58.76468742,Spiral,16
7991-3703,1-24124,258.5302615,57.47743353,Spiral,16
7991-6102,1-24354,261.08183,56.87628,Spiral,16
7992-1902,1-23023,257.247919,62.89801908,Spiral,16
7992-6101,1-22301,253.4055591,63.03126992,Spiral,16
7992-6104,1-22662,255.2794883,64.67687817,Spiral,16
8077-12705,1-109081,41.69464,-0.72882685,Spiral,16
8078-12703,1-37211,42.57026673,0.091990149,Spiral,16
8078-12705,1-36897,42.27915,-0.90221,Spiral,16
8078-6104,1-37084,42.73942997,0.369408313,Spiral,16
8081-3704,1-38014,49.82144204,-0.969631343,Spiral,16
8081-6103,1-37936,48.06547714,0.240451563,Spiral,16
8082-12701,1-604017,48.89645601,-1.016286105,Spiral,16
8083-12703,1-38168,49.92933858,0.565477826,Spiral,16
8083-12704,1-604053,50.69678615,0.149366137,Spiral,16
8083-9101,1-38017,50.13841388,-0.339959846,Spiral,16
8084-6101,1-38299,51.69424872,-0.648169731,Spiral,16
